Wavelength,Melanopic lux,Wavelength,CIE Scotopic 1951,Wavelength,CIE Photopic 1924,Wavelength,Photosynthesis,Wavelength,Cleve Moth Attraction,Wavelength,Bee Attraction,Wavelength,Green Turtle 92,Wavelength,Juvenile Salmon,Wavelength,Chelonia,Wavelength,Shearwater,Wavelength,Starry Light,Wavelength,Skyglow Rayleigh City Center,Wavelength,Skyglow Mie Remote,Wavelength,Loggerhead Hatchling Attraction,Wavelength,van Grunsven Insect Phototaxis
515,0.785200772,407,0.02405,387,8.22122E-05,427,1,277,0,277,0,407,0.878294002,377,0.357624892,377,0.73461536,377,0.535992725,485,0.88246191,485,0.993674032,485,0.966804139,377,0.668543251,307,0.48149671
520,0.699631773,408,0.0273,388,9.35082E-05,428,1,278,0,278,0,408,0.882095004,378,0.362633911,378,0.744695729,378,0.533904986,490,0.907755424,490,0.985101987,490,0.967352288,378,0.67101439,308,0.492819247
525,0.609416097,409,0.03089,389,0.000106136,429,1,279,0,279,0,409,0.88589971,379,0.370545048,379,0.755738037,379,0.531749791,495,0.955315733,495,0.999508391,495,0.990508301,379,0.673487429,309,0.503737367
530,0.519288094,410,0.03484,390,0.00012,430,1,280,0,280,0,410,0.889704717,380,0.381681144,380,0.767663983,380,0.529531721,500,0.991000298,500,1,500,1,380,0.67596229,310,0.514264752
535,0.432491671,411,0.03916,391,0.000134984,431,1,281,0,281,0,411,0.89350659,381,0.396031274,381,0.780392704,381,0.527255407,505,1,505,0.973574677,505,0.982332484,381,0.678438893,311,0.524417361
540,0.351657023,412,0.0439,392,0.000151492,432,0.99,282,0,282,0,412,0.897301859,382,0.412806163,382,0.793819485,382,0.524925536,510,0.991858233,510,0.931998469,510,0.948757787,382,0.680917158,312,0.534213042
545,0.279151324,413,0.049,393,0.000170208,433,0.99,283,0,283,0,413,0.901087027,383,0.431098585,383,0.807822485,383,0.522546846,515,0.956421123,515,0.867683552,515,0.891076248,383,0.683397006,313,0.543671177
550,0.21567596,414,0.0545,394,0.000191816,434,0.99,284,0,284,0,414,0.904858557,384,0.449991646,384,0.822308511,384,0.520124126,520,0.9041887,520,0.79225551,520,0.820720486,384,0.685878355,314,0.552812343
555,0.162019989,415,0.0604,395,0.000217,435,0.99,285,0,285,0,415,0.908612883,385,0.468558789,385,0.837207365,385,0.517662219,525,0.862768487,525,0.730363418,525,0.763149074,385,0.688361122,315,0.56165801
560,0.118534105,416,0.0668,396,0.000246907,436,0.99,286,0,286,0,416,0.912346406,386,0.48591609,386,0.852448561,386,0.515166019,530,0.80597175,530,0.659393892,530,0.694896619,386,0.690845227,316,0.570230259
565,0.084341575,417,0.0736,397,0.00028124,437,0.99,287,0,287,0,417,0.916055494,387,0.501881617,387,0.867930506,387,0.512640474,535,0.717348152,535,0.567380753,535,0.603003731,387,0.693330585,317,0.578551528
570,0.058741014,418,0.0808,398,0.00031852,438,0.99,288,0,288,0,418,0.919736481,388,0.51678508,388,0.883485972,388,0.510090583,540,0.626270968,540,0.479030289,540,0.513386394,388,0.695817114,318,0.586644393
575,0.039978958,419,0.0885,399,0.000357267,439,0.99,289,0,289,0,419,0.923385669,389,0.530971045,389,0.898937989,389,0.507521397,545,0.542473634,545,0.401392688,545,0.4337638,389,0.698304727,319,0.594531361
580,0.026915658,420,0.0966,400,0.000396,440,0.98,290,0,290,0,420,0.926999326,390,0.544787712,390,0.914110466,390,0.50493802,550,0.461846951,550,0.330682056,550,0.360299821,390,0.700793342,320,0.6022347
585,0.017885324,421,0.1052,401,0.000433715,441,0.98,291,0.000141951,291,0,421,0.930573689,391,0.558586917,391,0.928822867,391,0.502345608,555,0.378487705,555,0.262310254,555,0.28814159,391,0.70328287,321,0.609776282
590,0.011748203,422,0.1141,402,0.000473024,442,0.98,292,0.000284878,292,0,422,0.934104962,392,0.572724125,392,0.942838825,392,0.49974937,560,0.303430634,560,0.203610775,560,0.225474264,392,0.705773228,322,0.617177452
595,0.007715238,423,0.1235,403,0.000517876,443,0.98,293,0.00042878,293,0,423,0.937589313,393,0.587558439,393,0.955882406,393,0.497154566,565,0.239074344,565,0.155373444,565,0.173439251,393,0.708264325,323,0.624458914
600,0.005085043,424,0.1334,404,0.000572219,444,0.98,294,0.000573658,294,0,424,0.941022882,394,0.603352602,394,0.967674643,394,0.494566509,570,0.184559097,570,0.116199486,570,0.130743038,394,0.710756077,324,0.631640635
605,0.00333158,425,0.1436,405,0.00064,445,0.97,295,0.000719512,295,0,425,0.944401771,395,0.619921379,395,0.977945853,395,0.491990565,575,0.142016136,575,0.086646631,575,0.098260674,395,0.713248392,325,0.638741763
610,0.002191829,426,0.1541,406,0.00072456,446,0.97,296,0.001010732,296,0,426,0.947722054,396,0.636950729,396,0.986442957,396,0.489432151,580,0.107137468,580,0.063360535,580,0.072415415,396,0.715741183,326,0.645780557
615,0.00140277,427,0.1651,407,0.0008255,447,0.96,297,0.001303899,297,0,427,0.950979768,397,0.654123376,397,0.992999263,397,0.486896737,585,0.076522916,585,0.043878182,585,0.050537749,397,0.718234359,327,0.652774331
620,0.000964405,428,0.1764,408,0.00094116,448,0.96,298,0.001599019,298,0,428,0.95417092,398,0.671118818,398,0.997512246,398,0.484389845,590,0.053607061,590,0.029810756,590,0.034599258,398,0.720727831,328,0.65973941
625,0.000613712,429,0.1879,409,0.00106988,449,0.95,299,0.001896102,299,0,429,0.957291482,399,0.68761333,399,0.99988006,399,0.481917049,595,0.038670075,595,0.020860858,595,0.024396326,399,0.723221507,329,0.666691087
630,0.000438366,430,0.1998,410,0.00121,450,0.95,300,0.002195125,300,0,430,0.960337396,400,0.703279955,400,1,400,0.479483977,600,0.027534913,600,0.014413101,600,0.01698324,400,0.725715294,330,0.673643593
635,0.000263019,431,0.2119,411,0.001362091,451,0.95,301,0.002349264,301,0,431,0.963304567,401,0.717868905,401,0.997825292,401,0.477096308,605,0.019160401,605,0.009734272,605,0.011556074,401,0.728209078,331,0.680610075
640,0.000175346,432,0.2243,412,0.001530752,452,0.94,302,0.002504391,302,0,432,0.96618887,402,0.731450317,402,0.993536641,402,0.474759772,610,0.013171865,610,0.00649648,610,0.007769658,402,0.730702654,332,0.687602567
645,8.76732E-05,433,0.2369,413,0.001720368,453,0.94,303,0.002660482,303,0,433,0.968986147,403,0.744175907,403,0.987373804,403,0.472480153,615,0.008900826,615,0.004262831,615,0.005135854,403,0.733195791,333,0.694631984
650,8.76732E-05,434,0.2496,414,0.001935323,454,0.94,304,0.00281756,304,0,434,0.971692206,404,0.75619897,404,0.979579074,404,0.470263289,620,0.005964705,620,0.002774579,620,0.00336726,404,0.735688258,334,0.701708096
655,8.76732E-05,435,0.2625,415,0.00218,455,0.93,305,0.002975614,305,0,435,0.974302823,405,0.767674391,405,0.970397258,405,0.468115065,625,0.003921196,625,0.001772021,625,0.002166146,405,0.738179821,335,0.708839524
,,436,0.2755,416,0.0024548,456,0.93,306,0.015822391,306,0,436,0.976813742,406,0.778758639,406,0.960062625,406,0.466041423,630,0.002563349,630,0.001125641,630,0.001385905,406,0.740670244,336,0.716033725
,,437,0.2886,417,0.002764,457,0.93,307,0.028753218,307,0,437,0.97922067,407,0.789609767,407,0.948775012,407,0.464048356,635,0.001722106,635,0.000735009,635,0.000911415,407,0.743159289,337,0.723296985
,,438,0.3017,418,0.0031178,458,0.93,308,0.041767825,308,0,438,0.981519287,408,0.800387413,408,0.936729859,408,0.462142015,640,0.001156301,640,0.000479779,640,0.000599143,408,0.745646716,338,0.730634408
,,439,0.3149,419,0.0035264,459,0.93,309,0.054866334,309,0,439,0.983705236,409,0.811252802,409,0.924124591,409,0.460330015,645,0.000759245,645,0.000306327,645,0.000385226,409,0.748132283,339,0.738049906
,,440,0.3281,420,0.004,460,0.93,310,0.068048746,310,0,440,0.985774128,410,0.822360832,410,0.911158609,410,0.458621059,650,0.000499979,650,0.000196192,650,0.000248446,410,0.750615747,340,0.745546194
,,441,0.3412,421,0.00454624,461,0.92,311,0.079646384,311,0,441,0.987721542,411,0.833728788,411,0.898033296,411,0.457023943,655,0.000339378,655,0.000129549,655,0.000165188,411,0.753096861,341,0.753124779
,,442,0.3543,422,0.00515932,462,0.92,312,0.091317068,312,0,442,0.989543023,412,0.8452552,412,0.884952015,412,0.455547545,660,0.000231625,660,8.6029E-05,660,0.000110449,412,0.755575378,342,0.76078595
,,443,0.3673,423,0.00582928,463,0.92,313,0.103060923,313,0,443,0.991234084,413,0.856833778,413,0.872120112,413,0.454200817,665,0.000160902,665,5.81595E-05,665,7.51774E-05,413,0.758051047,343,0.768528776
