Wavelength,D65,Los Angeles LED,LEDway Streetlight CW 54W,150 W HPS,OCTRON 32 W,Iwasaki 60W,Ceramic Metal Halide 70 W,74 WW CW7,3000K LED,74 WW CW10,LPS 18 W,Metal Halide 70W,Anna,AEL 75W,PC Amber Cree,Cosmopolis 60W,LLT Telescope Light,Yard Blaster,SORAA Vivid,Kerosene Oil,TL950,Feit Red LED,CFL Greenlite 13 W,A,Full moon,LSG Good Night 2016,Philips AmbientLED
463,0.00001623,7.37E-06,0.00001635,2.76E-06,0.000005656,0.000001808,0.000004661,2.99E-09,4.01E-06,0,1.73E-09,4.66E-06,0,5.88E-08,4.35E-08,3.50E-06,2.71E-07,0.000002914,1.33E-05,0.000001879,0.00001043,3.34E-09,4.75E-07,5.34E-06,1.00E-05,0.000002605,0.000005307
464,0.00001617,6.90E-06,0.00001537,0.000003395,0.000005589,0.000001832,0.000004466,3.34E-09,3.91E-06,0,1.61E-08,4.47E-06,0,4.64E-08,5.60E-08,0.000003613,2.85E-07,0.000002806,0.00001344,0.00000192,0.00001069,4.95E-09,4.91E-07,0.000005407,1.00E-05,0.000002507,0.000005121
465,1.61E-05,6.49E-06,0.00001449,0.000003946,5.52E-06,1.86E-06,0.000004343,3.70E-09,3.98E-06,0,3.40E-08,4.34E-06,0,4.82E-08,4.04E-08,0.00000377,3.00E-07,0.000002798,0.00001362,0.000001796,0.00001096,6.84E-09,5.06E-07,0.000005469,1.01E-05,0.000002417,0.000004948
466,0.00001606,6.04E-06,0.00001369,4.32E-06,0.000005448,0.000001885,0.000004283,5.53E-09,3.99E-06,3.05E-10,3.42E-08,4.28E-06,0,4.26E-08,3.73E-08,0.000003921,3.09E-07,0.000003016,0.00001381,0.000001862,0.00001126,9.05E-09,5.16E-07,5.53E-06,1.01E-05,0.000002335,0.00000477
467,0.00001601,5.64E-06,0.00001296,0.000004495,0.000005371,0.000001918,0.000004302,7.37E-09,4.02E-06,6.11E-10,4.19E-08,4.30E-06,0,4.20E-08,3.11E-08,0.000004029,3.14E-07,0.000003643,0.000014,0.000002025,0.00001156,1.16E-08,5.28E-07,0.000005603,1.01E-05,0.000002259,0.00000461
468,1.60E-05,5.32E-06,0.00001229,0.000004483,5.29E-06,0.00000195,0.000004366,9.20E-09,3.97E-06,9.16E-10,4.76E-08,4.37E-06,0,4.38E-08,3.11E-08,4.10E-06,3.14E-07,0.000004981,0.00001415,0.000002133,0.00001181,1.43E-08,5.36E-07,0.00000568,1.01E-05,0.000002188,0.000004485
469,0.00001593,5.00E-06,0.00001167,0.00000425,0.000005201,1.98E-06,0.000004438,1.10E-08,3.84E-06,1.22E-09,4.40E-08,4.44E-06,0,4.44E-08,2.49E-08,0.000004127,3.09E-07,0.000007134,0.0000143,0.000002195,0.00001206,1.74E-08,5.42E-07,0.000005754,1.02E-05,0.000002122,0.000004365
470,0.00001591,4.62E-06,1.11E-05,0.000003704,0.000005111,0.000002013,0.000004484,1.29E-08,3.79E-06,1.53E-09,2.51E-08,4.48E-06,0,4.18E-08,3.42E-08,0.000004106,3.00E-07,0.00001002,1.45E-05,2.22E-06,1.23E-05,2.06E-08,5.52E-07,5.82E-06,1.03E-05,2.06E-06,0.000004229
471,0.00001591,4.26E-06,0.00001054,0.000003002,0.000005023,0.000002045,0.000004458,1.58E-08,3.87E-06,1.48E-09,1.76E-08,4.46E-06,0,4.72E-08,2.18E-08,4.03E-06,2.87E-07,0.00001298,0.00001464,0.000002253,0.0000126,2.41E-08,5.62E-07,0.000005881,1.03E-05,2.00E-06,0.000004099
472,0.00001591,3.99E-06,0.00001002,0.000002346,0.000004937,0.000002075,0.000004374,1.86E-08,3.74E-06,1.43E-09,2.13E-08,4.37E-06,0,4.43E-08,3.73E-08,0.000003895,2.76E-07,0.00001547,0.00001477,0.000002362,0.00001281,2.78E-08,5.76E-07,5.96E-06,1.04E-05,0.000001955,0.000003993
473,0.00001592,3.77E-06,0.000009536,0.000001945,0.000004855,0.000002101,0.000004276,2.15E-08,3.87E-06,1.38E-09,2.27E-08,4.28E-06,0,4.12E-08,4.35E-08,0.000003725,2.73E-07,0.00001703,0.0000149,2.52E-06,0.00001302,3.16E-08,6.04E-07,0.000006036,1.05E-05,0.000001917,3.89E-06
474,0.00001595,3.55E-06,0.000009072,0.00000168,0.000004789,0.000002135,0.000004197,2.44E-08,3.85E-06,1.33E-09,8.65E-09,4.20E-06,0,3.13E-08,4.66E-08,0.000003574,2.81E-07,0.00001771,1.50E-05,0.000002603,0.00001325,3.55E-08,6.46E-07,0.000006111,1.06E-05,0.000001891,3.78E-06
475,0.00001599,3.37E-06,0.000008638,0.000001491,0.000004736,0.000002168,0.000004126,2.73E-08,3.91E-06,1.28E-09,8.49E-10,4.13E-06,0,4.45E-08,4.04E-08,0.000003438,3.00E-07,0.00001744,0.00001518,0.000002573,0.00001348,3.93E-08,7.09E-07,0.000006177,1.07E-05,0.000001877,0.000003686
476,0.00001603,3.24E-06,0.000008239,1.33E-06,0.000004707,0.000002195,0.000004055,3.36E-08,4.13E-06,1.36E-09,8.21E-09,4.06E-06,0,1.78E-08,2.49E-08,0.000003314,3.35E-07,0.00001601,0.0000153,0.000002482,0.00001367,4.31E-08,8.06E-07,0.000006243,1.08E-05,0.000001876,0.000003613
477,0.00001607,3.13E-06,0.000007874,0.000001174,0.000004738,0.000002225,0.000003993,3.99E-08,4.05E-06,1.45E-09,6.08E-09,3.99E-06,0,4.45E-08,2.49E-08,0.00000322,3.90E-07,0.00001261,0.00001541,0.000002553,0.00001386,4.67E-08,9.64E-07,0.000006319,1.09E-05,0.000001885,0.000003553
478,0.00001609,3.01E-06,0.000007544,9.74E-07,4.90E-06,0.000002258,0.000003982,4.62E-08,4.14E-06,1.53E-09,1.31E-09,3.98E-06,0,5.16E-08,5.28E-08,0.000003169,4.59E-07,0.000008769,0.00001554,2.67E-06,0.00001409,5.01E-08,0.000001236,0.000006401,1.10E-05,0.000001904,0.0000035
479,0.00001609,2.90E-06,0.000007248,7.38E-07,0.000005259,0.000002293,0.000004018,5.26E-08,4.26E-06,1.61E-09,4.27E-11,4.02E-06,0,5.55E-08,3.73E-08,0.000003185,5.32E-07,0.000005831,0.00001567,0.000002699,0.00001433,5.32E-08,0.000001687,0.000006479,1.11E-05,0.000001931,0.000003466
480,0.00001606,2.83E-06,0.000006983,5.67E-07,0.000005918,0.000002329,0.000004044,5.89E-08,4.29E-06,1.69E-09,3.85E-09,4.04E-06,0,4.53E-08,4.35E-08,0.000003298,5.99E-07,0.000005039,0.00001577,0.000002856,0.00001456,5.60E-08,0.000002385,0.000006546,1.11E-05,0.000001962,3.45E-06
481,0.00001601,2.76E-06,0.000006752,4.94E-07,0.000006964,0.000002367,0.000004009,7.27E-08,4.30E-06,1.71E-09,1.52E-08,4.01E-06,0,5.09E-08,6.53E-08,0.000003486,6.63E-07,0.000004922,0.00001587,0.000002867,1.48E-05,5.85E-08,0.000003401,0.000006614,1.11E-05,0.000002,0.000003448
482,0.00001593,2.69E-06,0.000006553,4.95E-07,0.000008396,0.000002407,0.000003926,8.65E-08,4.55E-06,1.73E-09,2.47E-08,3.92E-06,0,6.14E-08,4.66E-08,3.69E-06,7.30E-07,0.000004924,0.00001598,0.000002805,0.00001509,6.06E-08,0.000004731,6.69E-06,1.11E-05,0.000002045,0.000003455
483,0.00001582,2.63E-06,0.000006383,5.13E-07,0.00001015,0.00000245,0.000003842,1.00E-07,4.52E-06,1.74E-09,1.80E-08,3.84E-06,0,7.10E-08,5.60E-08,0.000003864,7.96E-07,0.000004879,0.00001607,0.000002949,0.00001537,6.23E-08,0.000006309,0.000006777,1.10E-05,0.000002101,0.000003477
484,0.0000157,2.58E-06,0.000006239,5.45E-07,0.00001207,0.000002492,0.000003789,1.14E-07,4.88E-06,1.76E-09,1.86E-08,3.79E-06,0,7.19E-08,4.66E-08,3.99E-06,8.54E-07,0.000004937,0.00001614,0.000002999,0.00001561,6.35E-08,0.000007954,0.000006857,1.10E-05,0.000002166,0.000003507
485,0.00001557,2.53E-06,6.12E-06,5.90E-07,0.00001396,0.000002546,0.000003771,1.28E-07,4.81E-06,1.78E-09,1.93E-08,3.77E-06,0,7.58E-08,4.97E-08,0.000004079,8.99E-07,4.98E-06,0.0000162,0.000003117,1.58E-05,6.42E-08,0.000009466,0.000006926,1.09E-05,0.000002242,0.000003544
486,0.00001544,2.50E-06,0.000006024,6.54E-07,0.0000156,2.63E-06,0.000003787,1.56E-07,5.01E-06,2.39E-09,1.27E-08,3.79E-06,0,8.71E-08,7.15E-08,0.000004136,9.40E-07,0.000004837,0.00001625,0.000003301,0.00001604,6.45E-08,0.00001066,0.000006996,1.09E-05,0.000002328,0.000003593
487,0.00001532,2.48E-06,0.000005957,7.42E-07,0.0000168,0.000002772,0.000003836,1.84E-07,5.12E-06,3.00E-09,1.99E-08,3.84E-06,0,9.28E-08,8.39E-08,0.000004178,9.92E-07,0.000004392,0.00001628,0.000003116,0.00001621,6.43E-08,0.00001138,0.000007077,1.09E-05,0.00000242,3.65E-06
488,0.00001521,2.49E-06,0.000005911,8.46E-07,0.00001738,2.96E-06,0.000003913,2.12E-07,5.34E-06,3.61E-09,2.35E-08,3.91E-06,0,1.01E-07,7.77E-08,0.000004193,1.06E-06,0.000003946,0.00001631,0.000003139,0.00001632,6.38E-08,0.00001156,0.000007163,1.10E-05,0.000002519,0.000003706
489,0.00001513,2.53E-06,0.000005888,9.68E-07,0.00001729,0.000003168,0.000004002,2.40E-07,5.42E-06,4.23E-09,1.75E-08,4.00E-06,0,1.14E-07,9.95E-08,0.0000042,1.13E-06,0.00000373,0.00001634,0.000003352,0.00001641,6.29E-08,0.0000112,0.000007245,1.10E-05,0.00000262,0.000003767
490,0.00001508,2.61E-06,0.00000589,0.000001099,0.00001657,0.000003324,0.00000406,2.68E-07,5.59E-06,4.84E-09,2.21E-08,4.06E-06,0,1.28E-07,1.09E-07,0.000004229,1.20E-06,0.000003854,0.00001636,3.54E-06,0.00001645,6.19E-08,0.00001033,0.000007316,1.12E-05,0.000002723,0.000003844
491,0.00001505,2.72E-06,0.000005918,0.000001327,0.00001552,0.00000344,4.05E-06,3.22E-07,5.73E-06,6.60E-09,1.65E-08,4.05E-06,0,1.39E-07,1.27E-07,0.000004264,1.29E-06,0.000004089,0.00001636,0.000003567,0.00001643,6.07E-08,0.000009261,0.000007387,1.13E-05,0.00000283,0.00000393
492,1.50E-05,2.83E-06,0.000005972,0.00000185,1.43E-05,0.000003525,0.000004004,3.76E-07,5.99E-06,8.36E-09,1.41E-08,4.00E-06,0,1.58E-07,1.46E-07,4.32E-06,1.41E-06,0.000004365,0.00001634,0.000003574,0.00001635,5.93E-08,0.000008202,0.00000747,1.14E-05,0.000002946,0.000004012
